Legal Name,Contract Name,Services Included in Services Contract,Name of Services Contract,Vubiquity Party to Service(s) Contract,Territory(ies) Included in Contract,Applicable Countries,Territory Notes
A&E Television Networks LLC (Multi-Territory - AVOD/TVOD/SVOD),A&E (Multi-Territory) - Amend#6 to 2010 TVOD/SVOD Content Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia, Europe, MENA, SEE",,"Per Amend #6: Territory is Amended and Restated to: """"Territory"" means, subject to Section 3.0l(d), Albania, Bahrain, Bosnia and
Herzegovina, Bulgaria, Croatia, Greece, the Greek speaking areas of Cyprus, Egypt, Kenya,
Macedonia, Malta, Montenegro, Nigeria, Oman, Qatar, Rwanda, Serbia, Slovenia, South Africa, Uganda, United Arab Emirates, Zambia, and Zimbabwe.""

Amend #2 adds: Serbia, Slovenia, Croatia,
Macedonia, Montenegro, Bosnia and Herzegovina, Bulgaria, Albania and Malta.

Amend #1 adds Kuwait and Saudi Arabia

""Territory"" means Greece, the Greek speaking areas of Cyprus, the United Arab Emirates, Qatar,
Bahrain, Oman, Egypt and South Africa."
A&E Television Networks LLC (Multi-Territory - AVOD/TVOD/SVOD),A&E (Multi-Territory) - Amend#7 to 2010 TVOD/SVOD Content Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia, Europe, MENA, SEE",,"Per Amend #6: Territory is Amended and Restated to: """"Territory"" means, subject to Section 3.0l(d), Albania, Bahrain, Bosnia and
Herzegovina, Bulgaria, Croatia, Greece, the Greek speaking areas of Cyprus, Egypt, Kenya,
Macedonia, Malta, Montenegro, Nigeria, Oman, Qatar, Rwanda, Serbia, Slovenia, South Africa, Uganda, United Arab Emirates, Zambia, and Zimbabwe.""

Amend #2 adds: Serbia, Slovenia, Croatia,
Macedonia, Montenegro, Bosnia and Herzegovina, Bulgaria, Albania and Malta.

Amend #1 adds Kuwait and Saudi Arabia

""Territory"" means Greece, the Greek speaking areas of Cyprus, the United Arab Emirates, Qatar,
Bahrain, Oman, Egypt and South Africa."
"A1 Slovenija, D.D.",A1 Slovenija - Carriage and Services Agreement - Services,"Content Processing, EST, OTT, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,,SEE:Slovenia,Governing Law is Austria.
A2 Films (LatAm - TVOD),A2 Films (LatAm) - 2017 TVOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"Bermuda, Caribbean, Panama, Bahamas, Mexico, Costa Rica, Argentina, Uruguay, Brazil, Brazil, Trinidad & Tobago and Mexico"
Albricias Production (TVOD-LATAM/CARIB),Albricias - 2017 TVOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,
Algar Telecom S/A,Algar Telecom - Carriage and Services Agreement - Services,"Content Processing, EST, OTT, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,LATAM,LATAM:Brazil,
All3Media International Limited (Multi-Territory - SVOD),All3Media(Israel) - 2018 SVOD Content License Agreement - The Missing - Services,SVOD,Content License Agreement,Vubiquity Management Limited,"Africa, LATAM, MENA, SEE","SEE:Israel (incl Jerusalem, the West Bank, Gaza)",
"Amnet Cable Costa Rica, S.A",Amnet - 2013  Carriage and Service Agreement - Services,"Content Processing, PPV, SVOD, TVOD",z_VOD Services Agreement,ODM,LATAM,LATAM:Costa Rica,
Ananey Channels (Israel-SVOD),Ananey/VIMN - 2017 SVOD/OTT Content License Agreement - Services,"OTT, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
Ananey Channels (Israel-SVOD),Ananey/VIMN - 2018 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
Anzour for Art Production & Distribution,Anzour - 2015 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia",,"United Arab Emirates, Qatar, Oman, Kuwait, Morocco, Algeria and Tunisia."
APA INTERNATIONAL FILM DIST.  INC.,APA International Film Dist - 2011 Deal Memo - Services,"SVOD, TVOD",Term Sheet (binding),ODM,"Caribbean, LATAM, South America",,
Arrow Film Distributors Limited (FilmFlex),Arrow Film (FilmFlex) - 2013 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the
United Kingdom, the Republic of lreland, the Channel Islands and the Isle of Man."
Arrow Film Distributors Limited (FilmFlex),Arrow Film (FilmFlex) - Amdt #1 to 2013 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,,,
Curzon Film World Limited (FilmFlex),Artificial Eye - 2011 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the
United Kingdom, the Republic of lreland, the Channel Islands and the Isle of Man."
Curzon Film World Limited (FilmFlex),Artificial Eye - Amendment #1 to 2011 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the
United Kingdom, the Republic of lreland, the Channel Islands and the Isle of Man."
Curzon Film World Limited (FilmFlex),Artificial Eye - Amendment #2 to 2011 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the
United Kingdom, the Republic of lreland, the Channel Islands and the Isle of Man."
Curzon Film World Limited (FilmFlex),Artificial Eye - Amendment #3 to 2011 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the
United Kingdom, the Republic of lreland, the Channel Islands and the Isle of Man."
Artmedia Company (Middle East),Artmedia (Middle East) - 2013 TVOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,MENA,,
"Asian Media Rights, LLC (LATAM)",Asian Media Rights - 2012 SVOD/TVOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Caribbean, LATAM",,
"Asian Media Rights, LLC (LATAM)",Asian Media Rights - Amend#1 2012 SVOD/TVOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Caribbean, LATAM",,
Atlas Film + Medien GmbH,Atlas Films - 2011 VOD Content License Agreement - Services,"PPV, TVOD",z_VOD Content License Agreement,OD Deutchland,Europe,,Germany and Austria only.
Avalon (Multi-Territory - LINEAR/SVOD),Avalon - 2017 Linear/SVOD Content License Agreement - Services,"Content Processing, Linear, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Caribbean, LATAM",,"Exclusive: Africa being the following countries: Algeria,
Angola, Benin, Botswana, Burkina Faso, Bm·undi, Cameroon,
Cape Verde, Central African Republic, Chad, Comoros,
Republic of the Congo~ Democratic Republic of the Congo, Cl'lte
d'Ivoire, Djibouti, Egypt, Equatorial Guinea, Eritrea, Ethiopia,
Gabon, The Gambia, Ghana, Guinea, Guinea-Bissau, Kenya,
Lesotho, Liberia, Libya, Madagascar, Malawi, Mali, Maul'itanla,
Mauritius, Morocco, Mozambi(]Ue, Namibia, Niger, Nigeria,
Rwanda, Sllo Tome and Plincipe, Senegal, Seychelles, Sicrm
Leone, Somalia, South Africa, South Sudan, Sudan, Swaziland,
Tanzania. Togo, Tunisia, Uganda, Western Sahara, Zambia,
Zimb!lbwe.
Non-Exclusive: Latin Amel'ican (includipg Caribbean) being the
following countries: Argentina, Mexico, Panama, Costa Rica,
Guatemala, Honduras, Paraguay, El Salvador, Chile, Colombia,
Brazil, Trinidad and Tobago, Uruguay, the Cru'i!Jbean (which
shall be deemed to include Anguilla, Antigua and Barbuda,
Aruba, Bahamas, Barbados, Bennuda, Bonaire, British Virgin
Islands, The Cayman Islands, Curm,:ao, Dominica, Dominican
Republic, Grenada, Guadeloupe, Haiti, Jamaica, Martinique,
Montserrat, Saba, Saint Eustatius, Saint Kitts and Nevis, Saint
Lucia, Saint Maarten, Saint Vincent and the Grenadines,
Trinidad and Tobago, and Turks and Caicos)."
Avalon (Multi-Territory - LINEAR/SVOD),Avalon - Amdt#1 to 2017 Linear/SVOD Content License Agreement - Services,"Content Processing, Linear, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Caribbean, LATAM",,"Exclusive: Lesotho, Mauritius, South Africa.
Non-Exclusive:
Latin America, being the following countries: Argentina, Mexico, Panama,
Costa Rica, Guatemala, Honduras, Paraguay, El Salvador, Chile, Colombia,
Brazil, Trinidad and Tobago, Uruguay.
The Cmibbean, being the following countries: Anguilla, Antigua and
Barbuda, Aruba, Bal1amas, Barbados, Bermuda, Bonaire, British Virgin
Islands, The Cayman lslancls, Curar;:ao, Dominica, Dominic11n Republic,
Grenada, Guadeloupe, Haiti, Jamaica, Mat1inique, Montserrat, Saba, Saint
Eust11tius, Saint Kitts and Nevis, S11int Lucia, S11int Maarten, Saint Vincent
and the Grenadines, T1inidad and Tobago, and Turks and Caicos).
Africa, being the following countries: Algeria, Angola, Botswana, Cape
Verde, Chad, Djibouti, Egypt, Eritrea, Ethiopia, TI1e Gambia, Ghana,
Guinea-Dissau, Kenya, Liberia, Libya, Malawi, MaUiitania, Morocco,
Mozambique, Namibia, Nigeria, Rwanda, Siio Tome and Principe,
Seychelles, SietTa Leone, Somalia, South Sudan, Sudan, Swaziland,
Tanzania, Tunisia, Ugancla, Western Sahara, Zambia, Zimbabwe."
Aximus Media,Aximus- Amendment #2 to 2010 VOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,OD Deutchland,,,
Aximus Media,Aximus- Amendment #5 to 2010 VOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,OD Deutchland,GAS,,
Aximus Media,Aximus- Amendment #6 to 2010 VOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,OD Deutchland,GAS,,
Axiom Films International Limited,Axiom Films (FilmFlex) - 2011 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the
United Kingdom, the Republic of lreland, the Channel Islands and the Isle of Man."
Axiom Films International Limited,Axiom Films (FilmFlex) - Amdt #1 to 2011 VOD Content License Agrmt - Services,TVOD,z_VOD Content License Agreement,FilmFlex,,,
BFTV IL,BabyFirst - 2017 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,
BBC Worldwide,BBC Worldwide (ISRAEL) - 2016 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
BBC Worldwide,BBC Worldwide (ISRAEL) - 2016 SVOD/OTT Content License Agreement - Services,OTT,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
BBC Worldwide,BBC Worldwide (ISRAEL) - Amd#1 to 2016 SVOD/OTT Content License Agreement ,OTT,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
BBC Worldwide,BBC Worldwide (ISRAEL) - Amd#2 to 2016 SVOD/OTT Content License Agreement,OTT,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
"	BBC Worldwide Americas Inc (LATAM - TVOD)",BBCW - 2016 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"North America: Mexico
Central America: Costa Rica, El Salvador,
Guatemala, Honduras, Nicaragua and Panama,
excluding: Belize
South America: Argentina, Bolivia, Brazil, Chile,
Colombia, Ecuador, Paraguay, Peru, Uruguay and
Venezuela, excluding: French Guiana, Guyana, and
Surinam
Caribbean Basin Islands: Anguilla, Antigua and
Barbuda, Aruba, Bahamas, Barbados, British Virgin
Islands, Cayman Islands, Dominica, Dominican
Republic, Grenada, Guadaloupe, Haiti, Jamaica,
Martinique, Montserrat, Saba, St. Barts, St.
Eustatius, St. Kitts & Nevis, St. Lucia, St. Martin, St.
Maarten, St. Vincent and the Grenadines, Trinidad &
Tobago and Turks & Caicos Islands, excluding:
Bermuda, Cuba, Puerto Rico, and the U.S. Virgin
Islands"
BBC Worldwide Americas (LATAM - SVOD),BBCW (Africa) - 2018 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, Mexico, South America",,"North America: Mexico
Central America: Costa Rica, El Salvador,
Guatemala, Honduras, Nicaragua and Panama and
Belize
South America: Argentina, Bolivia, Brazil, Chile,
Colombia, Ecuador, Paraguay, Peru, Uruguay and
Venezuela, excluding: French Guiana. Guyana. and
Surinam
Caribbean Basin Islands: Anguilla, Antigua and
Barbuda, Aruba, Bahamas, Barbados, British Virgin
Islands, Cayman Islands, Dominica, Dominican
Republic, Grenada, Guadeloupe, Haiti, Jamaica,
Martinique, Montserrat, Saba, St. Eustatius. St. Kitts
& Nevis, St. Lucia, St. Martin, St. Maarten, St. Vincent
and the Grenadines, Trinidad & Tobago and Turks &
Caicos Islands, excluding: Bermuda, Cuba, Puerto
Rico, and the U.S. Virgin Islands"
BBC Worldwide Americas (LATAM - SVOD),BBCW (Africa) - Amdt#1 - 2018 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, Mexico, South America",,"Per Amdt#The Parties hereby agree to amend the Territory for the Programme ""War and Peace"" to exclude the Caribbean Basin Islands.

North America: Mexico
Central America: Costa Rica, El Salvador,
Guatemala, Honduras, Nicaragua and Panama and
Belize
South America: Argentina, Bolivia, Brazil, Chile,
Colombia, Ecuador, Paraguay, Peru, Uruguay and
Venezuela, excluding: French Guiana. Guyana. and
Surinam
Caribbean Basin Islands: Anguilla, Antigua and
Barbuda, Aruba, Bahamas, Barbados, British Virgin
Islands, Cayman Islands, Dominica, Dominican
Republic, Grenada, Guadeloupe, Haiti, Jamaica,
Martinique, Montserrat, Saba, St. Eustatius. St. Kitts
& Nevis, St. Lucia, St. Martin, St. Maarten, St. Vincent
and the Grenadines, Trinidad & Tobago and Turks &
Caicos Islands, excluding: Bermuda, Cuba, Puerto
Rico, and the U.S. Virgin Islands"
BBC Worldwide (SVOD-Africa),BBCW(Africa) - 2017 SVOD Content License Agreement - Services,"OTT, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"South Africa, Nigeria, Zambia, Uganda, Democratic Republic of Congo, Tanzania,
Swaziland, Ghana, Lesotho, Mozambique, and Zimbabwe."
BBC Worldwide (SVOD-Africa),BBCW(Africa) - Amdt#1 to 2017 SVOD Content License Agreement - Services,"OTT, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"South Africa, Nigeria, Zambia, Uganda, Democratic Republic of Congo, Tanzania,
Swaziland, Ghana, Lesotho, Mozambique, and Zimbabwe."
BBC Worldwide (SVOD-Africa),BBCW(Africa) - Amdt#2 to 2017 SVOD Content License Agreement - Services,"OTT, SVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"South Africa, Nigeria, Zambia, Uganda, Democratic Republic of Congo, Tanzania,
Swaziland, Ghana, Lesotho, Mozambique, and Zimbabwe."
Beta Film GmbH,Beta Film - 2015 VOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,SEE,,Israel and West Bank
Blue Finch Film Releasing Ltd,Blue Finch (UK) - 2018 EST/TVOD Content License Agreement - Services,"EST, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Europe,"EUR:Ireland, EUR:United Kingdom",
Body In Balance Networks (Africa/Latam - SVOD),Body In Balance - 2017 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, LATAM",,"Africa region comprising of the following countries: Zimbabwe,
Kenya, Nigeria, Burkina Faso, Chad, Democratic Republic of Congo,
Gabon, Ghana, Madagascar, Malawi, Niger, Rwanda, Seychelles, Sierra
Leone, Tanzania, Uganda, Zambia, South Africa, Zambia, Ivory Coast,
Madagascar, Uganda Tanzania, Mozambique, Lesotho; and
• Latin America region comprising of the following countries: Mexico,
Uruguay, Brasil, Chile, Costa Rica, Panama and Argentina."
Bora Dream Corporation,Bora Dream aka Paradise -  2014 Carriage and Service Agreement - Services,SVOD,z_VOD Services Agreement,Vubiquity Management Limited,,,
British Telecommunications PLC,British Telecommunications - VOD Sales Order - Agreement Extension - Services,"Content Processing, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,Europe,,
British Telecommunications PLC,British Telecommunications - VOD Sales Order - Services,"Content Processing, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,Europe,,
Broadband Home Limited,Broadband Home - 2015 VOD Services Agreement - Services,"Content Processing, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,Africa,AFRICA:Ghana,
Broadband Home Limited,Broadband Home - VOD Services Agreement - Amend 1 - Services,"Content Processing, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,Africa,AFRICA:Ghana,
"Buena Vista International, Inc. (LatAm - SVOD)",Buena Vista (Disney) LatAm - 2017 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"LATAM, Mexico",,"Mexico, Costa Rica, Chile, Uruguay and Brazil"
"Buena Vista International, Inc. (LatAm - TVOD)",BVI - 2013 TVOD/PPV Content License Agreement - Services,"PPV, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"(i) Mexico (ii) Central America (including, without limitation, Belize, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua and Panama), (iii) South America including, without limitation, Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, French Guiana, Guyana, Paraguay, Peru, Suriname, Uruguay and Venezuela, and (iv) the Caribbean Basin Islands (excluding Puerto Rico, Cuba and the U.S. Virgin Islands but including, without limitation, Anguilla, Antigua and Barbuda, Aruba, the Bahamas, Barbados, Bennuda, the British Virgin Islands, the Cayman Islands, Dominica, Dominican Republic, Grenada, Guadeloupe, Haiti~ Jamaica, Martinique,
Montserrat, the Netherlands Antilles, Curacao, Saint Maarten, St. Kitts & Nevis, St. Lucia, St. Vincent and the Grenadines, Trinidad and Tobago and the Turk and Caicos Islands)."
"Buena Vista International, Inc. (LatAm - TVOD)",BVI - Amdt #1 to  2013 TVOD/PPV Content License Agreement - Services,"PPV, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"(i) Mexico (ii) Central America (including, without limitation, Belize, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua and Panama), (iii) South America including, without limitation, Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, French Guiana, Guyana, Paraguay, Peru, Suriname, Uruguay and Venezuela, and (iv) the Caribbean Basin Islands (excluding Puerto Rico, Cuba and the U.S. Virgin Islands but including, without limitation, Anguilla, Antigua and Barbuda, Aruba, the Bahamas, Barbados, Bennuda, the British Virgin Islands, the Cayman Islands, Dominica, Dominican Republic, Grenada, Guadeloupe, Haiti~ Jamaica, Martinique,
Montserrat, the Netherlands Antilles, Curacao, Saint Maarten, St. Kitts & Nevis, St. Lucia, St. Vincent and the Grenadines, Trinidad and Tobago and the Turk and Caicos Islands)."
"Buena Vista International, Inc. (LatAm - TVOD)",BVI - Amdt #2 to  2013 TVOD/PPV Content License Agreement - Services,"PPV, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"(i) Mexico (ii) Central America (including, without limitation, Belize, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua and Panama), (iii) South America including, without limitation, Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, French Guiana, Guyana, Paraguay, Peru, Suriname, Uruguay and Venezuela, and (iv) the Caribbean Basin Islands (excluding Puerto Rico, Cuba and the U.S. Virgin Islands but including, without limitation, Anguilla, Antigua and Barbuda, Aruba, the Bahamas, Barbados, Bennuda, the British Virgin Islands, the Cayman Islands, Dominica, Dominican Republic, Grenada, Guadeloupe, Haiti~ Jamaica, Martinique,
Montserrat, the Netherlands Antilles, Curacao, Saint Maarten, St. Kitts & Nevis, St. Lucia, St. Vincent and the Grenadines, Trinidad and Tobago and the Turk and Caicos Islands)."
"Buena Vista International, Inc. (LatAm - TVOD)",BVI - Amdt #3 to  2013 TVOD/PPV Content License Agreement - Services,"PPV, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"(i) Mexico (ii) Central America (including, without limitation, Belize, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua and Panama), (iii) South America including, without limitation, Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, French Guiana, Guyana, Paraguay, Peru, Suriname, Uruguay and Venezuela, and (iv) the Caribbean Basin Islands (excluding Puerto Rico, Cuba and the U.S. Virgin Islands but including, without limitation, Anguilla, Antigua and Barbuda, Aruba, the Bahamas, Barbados, Bennuda, the British Virgin Islands, the Cayman Islands, Dominica, Dominican Republic, Grenada, Guadeloupe, Haiti~ Jamaica, Martinique,
Montserrat, the Netherlands Antilles, Curacao, Saint Maarten, St. Kitts & Nevis, St. Lucia, St. Vincent and the Grenadines, Trinidad and Tobago and the Turk and Caicos Islands)."
"Buena Vista International, Inc. (LatAm - TVOD)",BVI - Amdt #4 to  2013 TVOD/PPV Content License Agreement - Services,"PPV, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"(i) Mexico (ii) Central America (including, without limitation, Belize, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua and Panama), (iii) South America including, without limitation, Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, French Guiana, Guyana, Paraguay, Peru, Suriname, Uruguay and Venezuela, and (iv) the Caribbean Basin Islands (excluding Puerto Rico, Cuba and the U.S. Virgin Islands but including, without limitation, Anguilla, Antigua and Barbuda, Aruba, the Bahamas, Barbados, Bennuda, the British Virgin Islands, the Cayman Islands, Dominica, Dominican Republic, Grenada, Guadeloupe, Haiti~ Jamaica, Martinique,
Montserrat, the Netherlands Antilles, Curacao, Saint Maarten, St. Kitts & Nevis, St. Lucia, St. Vincent and the Grenadines, Trinidad and Tobago and the Turk and Caicos Islands)."
Cable and Wireless Seychelles Ltd.,Cable and Wireless Seychelles - VOD Sales Order - Services,"Content Processing, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,Africa,AFRICA:Seychelles,
Cable Onda,Cable Onda - 2013 Carriage and Service Agreement - Amend 1 - Services,TVOD,z_VOD Services Agreement,Vubiquity Management Limited,LATAM,LATAM:Panama,
Cable Onda,Cable Onda - 2013 Carriage and Service Agreement - Services,TVOD,z_VOD Services Agreement,Vubiquity Management Limited,LATAM,LATAM:Panama,
Cablemás,Cablemas - (Vubiquity UK) VOD Sales Order - Amend #1 - Services,"Content Processing, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,Mexico,MEXICO:Mexico,
Cablemás,Cablemas - (Vubiquity UK) VOD Sales Order - Services,"Content Processing, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,Mexico,MEXICO:Mexico,
CABLENET COMMUNICATIONS SYSTEM LTD,Cablenet - VOD Services Agreement - Amend 3 - Services,TVOD,z_VOD Services Agreement,Vubiquity Management Limited,SEE,SEE:Cyprus,
CABLENET COMMUNICATIONS SYSTEM LTD,Cablenet - VOD Services Agreement - Services,"Content Processing, TVOD",z_VOD Services Agreement,ODM,SEE,SEE:Cyprus,
"TELEVISION INTERNACIONAL, S. A. DE C. V.",Cablevision Monterrey - VOD Services Agreement - Amend 2 - Services,"FOD, PPV, SVOD, TVOD",z_VOD Services Agreement,ODM,Mexico,MEXICO:Mexico,
